City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,badger,64.8,-147.5333,14.73,93,75,2.06,US,1691504772
83,weno,7.4515,151.8468,28.97,79,100,1.54,FM,1691504772
84,yerofey pavlovich,53.9667,121.9667,14.75,64,83,2.19,RU,1691504773
85,wailua homesteads,22.0669,-159.378,26.44,80,100,8.23,US,1691504773
86,punta del este,-34.9667,-54.95,11.09,79,20,4.02,UY,1691504521
87,klin,56.3333,36.7333,21.37,87,100,1.22,RU,1691504773
88,villefranche-de-rouergue,44.3333,2.0,28.35,18,65,2.59,FR,1691504773
89,georgetown,5.4112,100.3354,25.96,93,20,1.03,MY,1691504476
90,stanley,54.868,-1.6985,18.62,54,40,5.66,GB,1691504773
91,thompson,55.7435,-97.8558,10.09,93,100,3.09,CA,1691504773
92,magadan,59.5667,150.8,8.85,66,22,3.63,RU,1691504773
93,behompy,-23.2496,43.8557,23.3,63,13,4.25,MG,1691504773
94,kamaishi,39.2667,141.8833,25.14,96,99,4.14,JP,1691504774
95,el nido,11.1858,119.3956,28.04,82,20,5.35,PH,1691504774
96,chikwawa,-16.0335,34.8009,28.37,27,19,2.8,MW,1691504774
97,suva,-18.1416,178.4415,22.71,94,75,2.06,FJ,1691504774
98,lata,40.1629,-8.3327,22.12,14,0,4.22,PT,1691504774
99,st. john's,47.5649,-52.7093,16.49,91,100,6.69,CA,1691504689
100,hawaiian paradise park,19.5933,-154.9731,23.83,90,75,2.06,US,1691504774
101,mount isa,-20.7333,139.5,11.87,66,5,2.06,AU,1691504774
102,talnakh,69.4865,88.3972,21.23,56,81,1.24,RU,1691504775
103,taoudenni,22.6783,-3.9836,46.96,7,2,7.12,ML,1691504775
104,iskateley,67.6803,53.1512,18.59,42,48,3.15,RU,1691504775
105,sisimiut,66.9395,-53.6735,9.16,60,47,1.86,GL,1691504775
106,sal rei,16.1833,-22.9167,29.11,51,40,5.66,CV,1691504775
107,tolanaro,-25.0319,46.9987,22.23,76,7,5.95,MG,1691504775
108,racine,42.7495,-88.0751,24.56,76,0,0.89,US,1691504648
109,san antonio de pale,-1.4014,5.6325,23.4,76,25,4.82,GQ,1691504775
110,mata-utu,-13.2816,-176.1745,27.4,77,15,2.77,WF,1691504775
111,bilibino,68.0546,166.4372,5.41,52,100,2.03,RU,1691504776
112,howard springs,-12.497,131.047,24.95,72,38,2.63,AU,1691504776
113,natal,-5.795,-35.2094,28.12,74,75,7.2,BR,1691504776
114,tuzlukcu,38.4778,31.6264,34.24,21,0,3.79,TR,1691504776
115,invercargill,-46.4,168.35,4.45,94,100,3.13,NZ,1691504608
116,puerto ayora,-0.7393,-90.3518,25.98,86,100,3.58,EC,1691504551
117,lodja,-3.4833,23.4333,27.46,58,87,0.58,CD,1691504776
118,portland,45.5234,-122.6762,18.19,87,75,1.54,US,1691504492
119,coracora,-15.0333,-73.7833,14.7,36,0,0.48,PE,1691504776
120,udachny,66.4167,112.4,20.25,48,48,3.27,RU,1691504776
121,bredasdorp,-34.5322,20.0403,15.42,61,81,4.16,ZA,1691504777
122,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1691504777
